Thresh%	Bins	bytes	pSNR
99.890	22	8405116	22.37
99.890	24	8405708	23.18
99.890	26	8406332	23.76
99.890	28	8407008	23.34
99.890	30	8407672	23.20
99.890	32	8408332	24.25
99.890	34	8408964	24.47
99.890	36	8409552	23.88
99.890	38	8410136	24.36
99.890	40	8410728	24.66
99.890	42	8411308	24.64
99.890	44	8411876	24.78
99.890	46	8412452	24.63
99.890	48	8413012	24.72
99.890	50	8413452	24.72
99.890	52	8413836	24.94
99.890	54	8414236	24.70
99.890	56	8414616	24.74
99.890	58	8415004	25.00
99.890	60	8415384	25.03
99.890	62	8415756	24.78
99.890	64	8416140	25.01
99.890	66	8416512	25.05
99.890	68	8416868	25.10
99.890	70	8417240	24.84
99.890	72	8417604	25.04
99.890	74	8417956	25.06
99.890	76	8418304	25.11
99.890	78	8418652	25.14
99.890	80	8418996	25.03
99.890	82	8419340	25.09
99.890	84	8419656	25.17
99.890	86	8419960	25.15
99.890	88	8420272	25.04
99.890	90	8420580	25.16
99.890	92	8420880	25.16
99.890	94	8421188	25.18
99.890	96	8421496	25.06
99.890	98	8421792	25.14
99.890	100	8422096	25.18
99.890	102	8422396	25.19
99.890	104	8422704	25.14
99.890	106	8422972	25.17
99.890	108	8423224	25.17
99.890	110	8423460	25.22
99.890	112	8423700	25.14
99.890	114	8423936	25.16
99.890	116	8424176	25.16
99.890	118	8424404	25.22
99.890	120	8424628	25.22
99.890	122	8424856	25.14
99.890	124	8425084	25.22
99.890	126	8425316	25.22
99.890	128	8425536	25.22
99.890	130	8425756	25.20
99.890	132	8425932	25.21
99.890	134	8426108	25.22
99.890	136	8426292	25.22
99.890	138	8426464	25.20
99.890	140	8426644	25.21
99.890	142	8426820	25.21
99.890	144	8426992	25.25
99.890	146	8427164	25.18
99.890	148	8427328	25.21
99.890	150	8427500	25.24
99.890	152	8427664	25.24
99.890	154	8427840	25.25
99.890	156	8428000	25.20
99.890	158	8428164	25.24
99.890	160	8428320	25.24
99.890	162	8428480	25.24
99.890	164	8428644	25.22
99.890	166	8428804	25.24
99.890	168	8428956	25.24
99.890	170	8429112	25.26
99.890	172	8429268	25.22
99.890	174	8429424	25.23
99.890	176	8429576	25.25
99.890	178	8429728	25.26
99.890	180	8429880	25.22
99.890	182	8430032	25.23
99.890	184	8430176	25.25
99.890	186	8430320	25.25
99.890	188	8430464	25.25
99.890	190	8430600	25.25
99.890	192	8430732	25.25
99.890	194	8430872	25.25
99.890	196	8431012	25.26
99.890	198	8431144	25.24
99.890	200	8431272	25.24
99.884	10	8403296	8.49
99.884	12	8403508	16.74
99.884	14	8403820	18.29
99.884	16	8404244	19.42
99.884	18	8404744	21.73
99.884	20	8405264	21.98
99.884	22	8405860	22.39
99.884	24	8406476	23.18
99.884	26	8407120	23.77
99.884	28	8407800	23.35
99.884	30	8408492	23.21
99.884	32	8409172	24.23
99.884	34	8409824	24.48
99.884	36	8410428	23.89
99.884	38	8411036	24.38
99.884	40	8411640	24.67
99.884	42	8412248	24.66
99.884	44	8412828	24.78
99.884	46	8413404	24.65
99.884	48	8414004	24.74
99.884	50	8414540	24.73
99.884	52	8414940	24.95
99.884	54	8415348	24.71
99.884	56	8415748	24.75
99.884	58	8416140	25.01
99.884	60	8416532	25.04
99.884	62	8416924	24.81
99.884	64	8417312	25.02
